country,clicks,impressions,ctr,position
syr,0,7,0,5.571428571428571
tcd,0,3,0,3.3333333333333335
tgo,0,2,0,8
tjk,0,1,0,4
tkm,0,3,0,4.666666666666666
tto,0,44,0,13.113636363636363
tun,0,31,0,9.870967741935484
tur,0,281,0,27.512455516014235
twn,0,94,0,5.4361702127659575
tza,0,46,0,5.565217391304348
ukr,0,144,0,22.243055555555557
ury,0,36,0,6.638888888888889
uzb,0,36,0,15
vct,0,1,0,4
ven,0,66,0,9.848484848484848
vir,0,2,0,3
vnm,0,1326,0,17.39366515837104
xkk,0,1,0,17
yem,0,2,0,28.5
zmb,0,48,0,9.583333333333334
zwe,0,15,0,7.866666666666666
zzz,0,6,0,8.166666666666668
